"termino_espanol","termino_ingles","emotion","valence","arousal","dominance","nivel_arousal"
"clasificación","rating","fear",0.326,0.358,0.274,"alto"
"clasificación","rating","sadness",0.326,0.358,0.274,"alto"
"clave","clue","anticipation",0.306,-0.24,-0.176,"medio"
"clerical","clerical","trust",0.04,-0.208,-0.018,"medio"
"clímax","climax","anticipation",0.47,0.706,0.334,"alto"
"clímax","climax","joy",0.47,0.706,0.334,"alto"
"clímax","climax","surprise",0.47,0.706,0.334,"alto"
"clímax","climax","trust",0.47,0.706,0.334,"alto"
"coacción","duress","anger",-0.396,0.138,0.224,"medio"
"coacción","duress","disgust",-0.396,0.138,0.224,"medio"
"coacción","duress","fear",-0.396,0.138,0.224,"medio"
"coacción","duress","sadness",-0.396,0.138,0.224,"medio"
"cobarde","coward","disgust",-0.796,-0.02,-0.702,"medio"
"cobarde","coward","fear",-0.796,-0.02,-0.702,"medio"
"cobarde","coward","sadness",-0.796,-0.02,-0.702,"medio"
"cobardemente","cowardly","fear",-0.796,-0.23,-0.746,"medio"
"cobardía","cowardice","fear",-0.734,0.242,-0.666,"medio"
"cobija","blanket","trust",0.48,-0.736,-0.218,"bajo"
"cobra","cobra","fear",-0.522,1,0.857,"alto"
"cobrable","chargeable","fear",0.102,0.1,-0.094,"medio"
"cobrable","chargeable","sadness",0.102,0.1,-0.094,"medio"
"cocaína","cocaine","sadness",-0.688,0.68,-0.254,"alto"
"coche de turismo","roadster","joy",0.062,0.244,-0.054,"medio"
"coche de turismo","roadster","trust",0.062,0.244,-0.054,"medio"
"coche fúnebre","hearse","fear",-0.646,-0.02,-0.352,"medio"
"coche fúnebre","hearse","sadness",-0.646,-0.02,-0.352,"medio"
"cocodrilo","crocodile","fear",-0.312,0.416,0.22,"alto"
"codicia","greed","anger",-0.654,0.56,0.056,"alto"
"codicia","greed","disgust",-0.654,0.56,0.056,"alto"
"codicioso","greedy","disgust",-0.75,0.32,-0.048,"medio"
"codo","elbow","anger",-0.104,-0.734,-0.492,"bajo"
"codorniz","quail","fear",0,-0.364,-0.426,"bajo"
"coerción","coercion","anger",-0.34,0.416,0.154,"alto"
"coerción","coercion","disgust",-0.34,0.416,0.154,"alto"
"coerción","coercion","fear",-0.34,0.416,0.154,"alto"
"coerción","coercion","sadness",-0.34,0.416,0.154,"alto"
"coexistiendo","coexisting","trust",0.102,-0.302,0.296,"medio"
"coexistir","coexist","trust",0.416,-0.08,0.072,"medio"
"coger","nab","surprise",-0.062,0.088,-0.186,"medio"
"cohesión","cohesion","trust",0.208,0.072,0.11,"medio"
"cohesivo","cohesive","trust",0.062,-0.06,0.206,"medio"
"cohete","rocket","anger",0.328,0.648,0.548,"alto"
"coincidencia","coincidence","surprise",0.224,-0.1,0.036,"medio"
"colaborador","collaborator","trust",0.458,-0.36,0.538,"bajo"
"colapsar","collapse","disgust",-0.584,0.378,-0.316,"alto"
"colapsar","collapse","fear",-0.584,0.378,-0.316,"alto"
"colapsar","collapse","sadness",-0.584,0.378,-0.316,"alto"
"colateral","collateral","trust",0.062,-0.156,0.434,"medio"
"colectivamente","collectively","trust",0.634,0.146,0.066,"medio"
"cólera","cholera","disgust",-0.96,0.734,0.014,"alto"
"cólera","cholera","fear",-0.96,0.734,0.014,"alto"
"cólera","cholera","sadness",-0.96,0.734,0.014,"alto"
"colgando","hanging","anger",-0.244,-0.058,-0.222,"medio"
"colgando","hanging","disgust",-0.244,-0.058,-0.222,"medio"
"colgando","hanging","fear",-0.244,-0.058,-0.222,"medio"
"colgando","hanging","sadness",-0.244,-0.058,-0.222,"medio"
"colisión","collision","anger",-0.51,0.696,0.17,"alto"
"colmillo","fang","fear",-0.65,-0.018,-0.09,"medio"
"colmillos","fangs","fear",-0.428,0.196,-0.132,"medio"
"columna vertebral","backbone","anger",0.076,-0.072,0.24,"medio"
"columna vertebral","spine","anger",-0.01,-0.078,0.2,"medio"
"columna vertebral","backbone","trust",0.076,-0.072,0.24,"medio"
"colusión","collusion","anger",-0.27,0.02,-0.2,"medio"
"colusión","collusion","disgust",-0.27,0.02,-0.2,"medio"
"colusión","collusion","fear",-0.27,0.02,-0.2,"medio"
"colusión","collusion","sadness",-0.27,0.02,-0.2,"medio"
"coma","coma","fear",-0.562,-0.49,-0.396,"bajo"
"coma","coma","sadness",-0.562,-0.49,-0.396,"bajo"
"comandante","commandant","trust",0.244,0.4,0.886,"alto"
"comatoso","comatose","fear",-0.714,-0.124,-0.134,"medio"
"comatoso","comatose","sadness",-0.714,-0.124,-0.134,"medio"
"combate","combat","anger",-0.396,0.692,0.666,"alto"
"combate","bout","anger",-0.584,0.616,0.358,"alto"
"combate","combat","fear",-0.396,0.692,0.666,"alto"
"combatiente","combatant","anger",0.062,0.706,0.56,"alto"
"combatiente","combatant","fear",0.062,0.706,0.56,"alto"
"combativo","combative","anger",-0.238,0.38,0.632,"alto"
"combativo","combative","fear",-0.238,0.38,0.632,"alto"
"comenzado","begun","anticipation",0.354,0,-0.192,"medio"
"comerciante","merchant","trust",0.35,0,0.24,"medio"
"comercio","trade","trust",0.122,0.088,0.38,"medio"
"comercio","commerce","trust",0.292,0,0.576,"medio"
"cometa","kite","disgust",0.286,0,0.146,"medio"
"cómico","laughable","disgust",0.184,0.254,-0.404,"medio"
"comienzo","start","anticipation",0.368,-0.14,0.178,"medio"
"comienzo","onset","anticipation",0.346,-0.006,0,"medio"
"comisión","commission","trust",0.354,-0.04,0.142,"medio"
"comité","committee","trust",0.184,-0.216,0.442,"medio"
"comodidad","comfort","anticipation",0.726,-0.538,0.34,"bajo"
"comodidad","comfort","joy",0.726,-0.538,0.34,"bajo"
"comodidad","comfort","trust",0.726,-0.538,0.34,"bajo"
"comodoro","commodore","trust",-0.146,0.06,0.272,"medio"
"compacto","compact","trust",-0.084,-0.166,0.346,"medio"
"compadecerse","sympathize","sadness",0.54,0.254,0.288,"medio"
"compañero","companion","joy",0.54,-0.246,0.236,"medio"
"compañero","companion","trust",0.54,-0.246,0.236,"medio"
"compañero","fellow","trust",0.49,-0.404,0.14,"bajo"
"compañero","mate","trust",0.694,-0.166,0.338,"medio"
"compasión","compassion","fear",0.47,-0.484,0.018,"bajo"
"compasión","sympathy","sadness",0.654,-0.006,0.268,"medio"
"compatriota","countryman","trust",0.346,-0.118,0.578,"medio"
"compensar","offset","anticipation",0.438,-0.212,0.408,"medio"
"compensar","compensate","anticipation",0.224,-0.142,0.524,"medio"
"compensar","compensate","joy",0.224,-0.142,0.524,"medio"
"compensar","compensate","surprise",0.224,-0.142,0.524,"medio"
"compensar","compensate","trust",0.224,-0.142,0.524,"medio"
"competencia","competition","anticipation",0.16,0.58,0.596,"alto"
"competencia","proficiency","anticipation",0.334,0.714,0.608,"alto"
"competencia","proficiency","joy",0.334,0.714,0.608,"alto"
"competencia","proficiency","surprise",0.334,0.714,0.608,"alto"
"competencia","competence","trust",0.23,0.604,0.589,"alto"
"competencia","competency","trust",0.536,0.55,0.528,"alto"
"competencia","proficiency","trust",0.334,0.714,0.608,"alto"
"competente","competent","trust",0.73,0.12,0.808,"medio"
"competente","proficient","trust",0.708,-0.078,0.634,"medio"
"complementar","complement","anticipation",0.52,-0.446,0.2,"bajo"
"complementar","complement","joy",0.52,-0.446,0.2,"bajo"
"complementar","complement","surprise",0.52,-0.446,0.2,"bajo"
"complementar","complement","trust",0.52,-0.446,0.2,"bajo"
"completamente","downright","trust",0.25,-0.092,0.358,"medio"
"completamente","fully","trust",0.526,-0.1,0.558,"medio"
"completando","completing","anticipation",0.228,0,0.538,"medio"
"completando","completing","joy",0.228,0,0.538,"medio"
"complicar","complicate","anger",-0.58,0.314,-0.192,"medio"
"compost","compost","disgust",-0.04,-0.192,-0.118,"medio"
"compras","shopping","anticipation",0.83,-0.11,0.26,"medio"
"compras","shopping","joy",0.83,-0.11,0.26,"medio"
"compras","shopping","surprise",0.83,-0.11,0.26,"medio"
"compras","shopping","trust",0.83,-0.11,0.26,"medio"
"comprensión","understanding","trust",0.73,-0.392,0.378,"bajo"
"comprimir","compress","anger",-0.188,-0.176,-0.08,"medio"
"comprometido","engaged","anticipation",0.674,0.192,0.698,"medio"
"comprometido","engaged","joy",0.674,0.192,0.698,"medio"
"comprometido","committed","trust",0.42,0.084,0.424,"medio"
"comprometido","engaged","trust",0.674,0.192,0.698,"medio"
"compromiso","committal","sadness",-0.056,0.038,0.164,"medio"
"compulsión","compulsion","anger",-0.764,0.52,0.208,"alto"
"comunicación","communication","trust",0.674,-0.2,0.298,"medio"
"comunicar","communicate","trust",0.646,-0.18,0.392,"medio"
"comunión","communion","joy",0.53,-0.286,0.214,"medio"
"comunión","communion","trust",0.53,-0.286,0.214,"medio"
"comunismo","communism","anger",-0.472,0.14,0.246,"medio"
"comunismo","communism","fear",-0.472,0.14,0.246,"medio"
"comunismo","communism","sadness",-0.472,0.14,0.246,"medio"
"Con","feat","anticipation",0.5,0.412,0.698,"alto"
"Con","feat","joy",0.5,0.412,0.698,"alto"
"Con","feat","surprise",0.5,0.412,0.698,"alto"
"con cansancio","wearily","sadness",-0.346,-0.428,-0.744,"bajo"
"con crueldad","cruelly","anger",-0.708,0.58,-0.058,"alto"
"con crueldad","cruelly","fear",-0.708,0.58,-0.058,"alto"
"con miedo","fearfully","fear",-0.776,0.134,-0.458,"medio"
"con miedo","fearfully","sadness",-0.776,0.134,-0.458,"medio"
"con miedo","fearfully","surprise",-0.776,0.134,-0.458,"medio"
"conciencia","conscience","trust",0.326,-0.25,0.442,"medio"
"concienzudo","conscientious","trust",0.376,-0.192,0.376,"medio"
"conciliación","conciliation","joy",0.584,-0.05,0.452,"medio"
"conciliación","conciliation","trust",0.584,-0.05,0.452,"medio"
"concordancia","concordance","trust",0.25,-0.284,0.216,"medio"
"concordia","concord","trust",0.354,-0.36,0.172,"bajo"
"concusión","concussion","anger",-0.856,0.416,-0.036,"alto"
"concusión","concussion","sadness",-0.856,0.416,-0.036,"alto"
"condado","county","trust",-0.042,-0.264,0.09,"medio"
"condenación","condemnation","anger",-0.734,0.45,-0.102,"alto"
"condenación","damnation","anger",-0.73,0.5,-0.168,"alto"
"condenación","condemnation","anticipation",-0.734,0.45,-0.102,"alto"
"condenación","condemnation","disgust",-0.734,0.45,-0.102,"alto"
"condenación","condemnation","fear",-0.734,0.45,-0.102,"alto"
"condenación","damnation","fear",-0.73,0.5,-0.168,"alto"
"condenación","damnation","sadness",-0.73,0.5,-0.168,"alto"
"condenación","condemnation","sadness",-0.734,0.45,-0.102,"alto"
"condenado","doomed","fear",-0.918,0.51,-0.398,"alto"
"condenado","doomed","sadness",-0.918,0.51,-0.398,"alto"
"condenar","condemn","anger",-0.796,0.586,0.25,"alto"
"condenar","convict","anger",-0.646,0.68,-0.046,"alto"
"condenar","convict","disgust",-0.646,0.68,-0.046,"alto"
"condenar","doom","fear",-0.854,0.5,-0.116,"alto"
"condenar","convict","fear",-0.646,0.68,-0.046,"alto"
"condenar","convict","sadness",-0.646,0.68,-0.046,"alto"
"condescendencia","condescension","anger",0.042,-0.246,0.13,"medio"
"condescendencia","condescension","disgust",0.042,-0.246,0.13,"medio"
"condescendencia","condescension","sadness",0.042,-0.246,0.13,"medio"
"condición","proviso","trust",-0.164,-0.188,0.138,"medio"
"condolencia","condolence","sadness",-0.48,-0.114,-0.192,"medio"
"conectado a tierra","grounded","fear",0.062,0.202,0.018,"medio"
"conectado a tierra","grounded","sadness",0.062,0.202,0.018,"medio"
"conectivo","connective","trust",0.438,-0.018,0.528,"medio"
"confederado","confederate","trust",0.102,0.092,0.584,"medio"
"confesar","confess","trust",-0.28,0.424,-0.138,"alto"
"confesión","confession","anticipation",-0.062,0.284,-0.08,"medio"
"confesión","confession","fear",-0.062,0.284,-0.08,"medio"
"confesión","confession","sadness",-0.062,0.284,-0.08,"medio"
"confesión","confession","surprise",-0.062,0.284,-0.08,"medio"
"confesional","confessional","fear",-0.084,-0.216,0.258,"medio"
"confesional","confessional","trust",-0.084,-0.216,0.258,"medio"
"confianza","confidence","fear",0.918,-0.448,0.886,"bajo"
"confianza","confidence","joy",0.918,-0.448,0.886,"bajo"
"confianza","confidence","trust",0.918,-0.448,0.886,"bajo"
"confianza","trust","trust",0.776,0.094,0.482,"medio"
"confiar","confide","trust",0.338,-0.056,0.19,"medio"
"confiar","entrust","trust",0.386,-0.38,0.26,"bajo"
"confidencial","confidential","trust",0.286,-0.058,0.522,"medio"
"confidencialmente","confidentially","trust",0.266,-0.062,0.116,"medio"
"confidente","confident","joy",0.53,-0.352,0.446,"bajo"
"confidente","confident","trust",0.53,-0.352,0.446,"bajo"
"confinado","confined","anger",-0.428,-0.056,-0.112,"medio"
"confinado","confined","disgust",-0.428,-0.056,-0.112,"medio"
"confinado","confined","fear",-0.428,-0.056,-0.112,"medio"
"confinado","confined","sadness",-0.428,-0.056,-0.112,"medio"
"confinamiento","confinement","anger",-0.334,0.312,0.04,"medio"
"confinamiento","confinement","fear",-0.334,0.312,0.04,"medio"
"confinamiento","confinement","sadness",-0.334,0.312,0.04,"medio"
"confinar","confine","anger",-0.346,0.102,0.076,"medio"
"confinar","confine","fear",-0.346,0.102,0.076,"medio"
"confinar","confine","sadness",-0.346,0.102,0.076,"medio"
"confirmación","confirmation","trust",0.648,-0.04,0.384,"medio"
"confirmado","confirmed","trust",0.52,-0.02,0.528,"medio"
"confiscar","confiscate","anger",-0.5,0.25,-0.036,"medio"
"confiscar","seize","fear",0.312,0.288,0.346,"medio"
"confiscar","confiscate","sadness",-0.5,0.25,-0.036,"medio"
"conflagración","conflagration","anger",-0.312,0.442,0.188,"alto"
"conflagración","conflagration","fear",-0.312,0.442,0.188,"alto"
"conflicto","conflict","anger",-0.33,0.812,-0.058,"alto"
"conflicto","conflict","fear",-0.33,0.812,-0.058,"alto"
"conflicto","conflict","sadness",-0.33,0.812,-0.058,"alto"
"conformidad","conformity","trust",0.29,-0.274,0.158,"medio"
"confrontar","confront","anger",-0.438,0.52,0.492,"alto"
"confusión","turmoil","anger",-0.604,0.776,-0.166,"alto"
"confusión","confusion","anger",-0.49,0.334,-0.446,"alto"
"confusión","turmoil","fear",-0.604,0.776,-0.166,"alto"
"confusión","confusion","fear",-0.49,0.334,-0.446,"alto"
"confusión","turmoil","sadness",-0.604,0.776,-0.166,"alto"
"conglomerado","conglomerate","trust",0,0,0.676,"medio"
"congratulatorio","congratulatory","joy",0.918,0.232,0.378,"medio"
"congregación","congregation","trust",0.122,-0.02,0.4,"medio"
"congresista","congressman","trust",-0.124,-0.058,0.754,"medio"
"congreso","congress","disgust",-0.102,-0.112,0.714,"medio"
"congreso","congress","trust",-0.102,-0.112,0.714,"medio"
"congruencia","congruence","trust",0.312,-0.056,0.154,"medio"
"conjetura","conjecture","anticipation",-0.208,-0.204,0.068,"medio"
"conjunto","ensemble","trust",0.394,-0.164,0.172,"medio"
"conjurar","conjure","anticipation",-0.23,0.358,0.29,"alto"
"conjurar","conjure","surprise",-0.23,0.358,0.29,"alto"
"conmemoración","commemoration","anticipation",0.438,0.23,0.508,"medio"
"conmemoración","commemoration","joy",0.438,0.23,0.508,"medio"
"conmemorar","commemorate","anticipation",0.666,0.435,0.386,"alto"
"conmemorar","commemorate","joy",0.666,0.435,0.386,"alto"
"conmemorar","commemorate","sadness",0.666,0.435,0.386,"alto"
"conmemorativo","commemorative","anticipation",0.5,-0.124,0.508,"medio"
"conmoción","commotion","anger",-0.02,0.4,0.292,"alto"
"conocedor","connoisseur","joy",0.52,-0.078,0.538,"medio"
"conocedor","connoisseur","trust",0.52,-0.078,0.538,"medio"
"conquista","conquest","anger",0.42,0.404,0.666,"alto"
"conquista","conquest","fear",0.42,0.404,0.666,"alto"
"consagración","consecration","anticipation",0.542,-0.164,0.608,"medio"
"consagración","consecration","joy",0.542,-0.164,0.608,"medio"
"consagración","consecration","sadness",0.542,-0.164,0.608,"medio"
"consagración","consecration","trust",0.542,-0.164,0.608,"medio"
"consejero","counsellor","anger",0.646,-0.346,0.48,"bajo"
"consejero","counsellor","fear",0.646,-0.346,0.48,"bajo"
"consejero","counselor","trust",0.746,-0.27,0.412,"medio"
"consejero","counsellor","trust",0.646,-0.346,0.48,"bajo"
"consejo","counsel","trust",0.188,0.038,0.46,"medio"
"consejo","advise","trust",0.52,-0.214,0.41,"medio"
"consejo","advice","trust",0.396,-0.184,0.376,"medio"
"Consejo","council","anticipation",0.75,-0.442,0.27,"bajo"
"Consejo","council","trust",0.75,-0.442,0.27,"bajo"
"conserje","janitor","disgust",0.02,-0.3,0.054,"medio"
"conservación","conservation","anticipation",0.664,-0.198,0.212,"medio"
"conservación","conservation","trust",0.664,-0.198,0.212,"medio"
"considerado","considerate","trust",0.562,-0.24,0.266,"medio"
"consiguiente","consequent","anticipation",0.326,-0.058,0.25,"medio"
"consistencia","consistency","trust",0.428,0,0.774,"medio"
"consola","console","sadness",0.25,-0.204,-0.17,"medio"
"consorte","consort","trust",0.264,0.018,0.26,"medio"
"conspiración","conspiracy","fear",-0.75,0.574,0.304,"alto"
"conspirador","conspirator","anger",-0.458,0.572,0.414,"alto"
"conspirador","conspirator","anticipation",-0.458,0.572,0.414,"alto"
"conspirador","conspirator","disgust",-0.458,0.572,0.414,"alto"
"conspirador","conspirator","fear",-0.458,0.572,0.414,"alto"
"conspirar","conspire","fear",-0.588,0.48,0.04,"alto"
"constancia","constancy","trust",0.572,-0.114,0.526,"medio"
"constante","constant","trust",0.48,-0.408,0.372,"bajo"
"constantemente","constantly","trust",0.326,0.122,0.4,"medio"
"consternación","dismay","anger",-0.372,0.362,-0.082,"alto"
"consternación","consternation","anger",-0.537,0.36,-0.062,"alto"
"consternación","dismay","anticipation",-0.372,0.362,-0.082,"alto"
"consternación","dismay","fear",-0.372,0.362,-0.082,"alto"
"consternación","consternation","fear",-0.537,0.36,-0.062,"alto"
"consternación","dismay","sadness",-0.372,0.362,-0.082,"alto"
"consternación","dismay","surprise",-0.372,0.362,-0.082,"alto"
"constitucional","constitutional","trust",0.266,-0.164,0.654,"medio"
"constituir","constitute","trust",0.624,-0.302,0.812,"medio"
"constreñir","constrain","fear",-0.478,0,0,"medio"
"cónsul","consul","trust",0.146,-0.292,0.376,"medio"
"consulta","inquiry","anticipation",0.082,-0.16,0.072,"medio"
"consultar","consult","trust",0.51,-0.26,-0.118,"medio"
"contador","accountant","trust",0.25,-0.1,0.278,"medio"
"contagio","contagion","anticipation",-0.584,0.26,0.07,"medio"
"contagio","contagion","disgust",-0.584,0.26,0.07,"medio"
"contagio","contagion","fear",-0.584,0.26,0.07,"medio"
"contagioso","contagious","disgust",-0.632,0.45,-0.2,"alto"
"contagioso","contagious","fear",-0.632,0.45,-0.2,"alto"
"contaminación","pollution","disgust",-0.876,0.388,-0.11,"alto"
"contaminación","contamination","disgust",-0.75,0.22,-0.25,"medio"
"contaminado","contaminated","disgust",-0.92,0,-0.264,"medio"
"contaminado","contaminated","fear",-0.92,0,-0.264,"medio"
"contaminado","contaminated","sadness",-0.92,0,-0.264,"medio"
"contaminar","contaminate","disgust",-0.86,0.445,-0.296,"alto"
"contaminar","pollute","disgust",-0.654,0.32,-0.04,"medio"
"contar","count","trust",0.188,-0.222,-0.016,"medio"
"contencioso","contentious","anger",-0.156,0.146,0.274,"medio"
"contencioso","contentious","disgust",-0.156,0.146,0.274,"medio"
"contencioso","contentious","fear",-0.156,0.146,0.274,"medio"
"contener","restrain","anger",-0.732,0.392,-0.132,"alto"
"contener","restrain","fear",-0.732,0.392,-0.132,"alto"
"contenido","restrained","fear",-0.292,0.18,0.018,"medio"
"contenido","content","joy",0.528,-0.408,0.118,"bajo"
"contenido","content","trust",0.528,-0.408,0.118,"bajo"
"contento","glad","anticipation",0.876,0.52,0.48,"alto"
"contento","delighted","anticipation",0.938,0.944,0.122,"alto"
"contento","happy","anticipation",0.985,0.47,0.39,"alto"
"contento","happy","joy",0.985,0.47,0.39,"alto"
"contento","glad","joy",0.876,0.52,0.48,"alto"
"contento","delighted","joy",0.938,0.944,0.122,"alto"
"contento","delighted","surprise",0.938,0.944,0.122,"alto"
"contento","happy","trust",0.985,0.47,0.39,"alto"
"contingente","contingent","anticipation",-0.06,0.062,0.318,"medio"
"continuación","continuation","anticipation",0.23,-0.06,0.132,"medio"
"continuación","sequel","anticipation",0.3,-0.04,0.148,"medio"
"continuar","dragon","fear",0.082,0.642,0.424,"alto"
"contrabandista","smuggler","anger",-0.876,0.734,0.29,"alto"
"contrabandista","smuggler","disgust",-0.876,0.734,0.29,"alto"
"contrabandista","smuggler","fear",-0.876,0.734,0.29,"alto"
"contrabando","contraband","anger",-0.646,0.75,0.34,"alto"
"contrabando","contraband","disgust",-0.646,0.75,0.34,"alto"
"contrabando","contraband","fear",-0.646,0.75,0.34,"alto"
"contradecir","contradict","anger",-0.68,0.196,-0.036,"medio"
"contraerse de dolor","wince","anger",-0.428,-0.17,-0.412,"medio"
"contraerse de dolor","wince","disgust",-0.428,-0.17,-0.412,"medio"
"contraerse de dolor","wince","fear",-0.428,-0.17,-0.412,"medio"
"contraerse de dolor","wince","sadness",-0.428,-0.17,-0.412,"medio"
"contralor","comptroller","trust",-0.196,-0.038,0.732,"medio"
"contrario","averse","anger",-0.494,0.138,-0.016,"medio"
"contrario","averse","disgust",-0.494,0.138,-0.016,"medio"
"contrario","averse","fear",-0.494,0.138,-0.016,"medio"
"contratar","hire","anticipation",0.376,0.116,0.112,"medio"
"contratar","hire","joy",0.376,0.116,0.112,"medio"
"contratar","hire","trust",0.376,0.116,0.112,"medio"
"contribuyente","contributor","trust",0.688,0.02,0.52,"medio"
"controversial","controversial","anger",-0.458,0.716,0.076,"alto"
"convencer","convince","anticipation",0.416,0.078,0.526,"medio"
"convencer","convince","trust",0.416,0.078,0.526,"medio"
"convencido","convinced","trust",0.5,0,0.26,"medio"
"conveniente","expedient","joy",0.77,-0.078,-0.092,"medio"
"conveniente","expedient","trust",0.77,-0.078,-0.092,"medio"
"convenio","agreement","trust",0.52,-0.12,0.472,"medio"
"convento","convent","trust",-0.04,-0.566,0.188,"bajo"
"convergencia","convergence","anticipation",0.102,-0.018,0.25,"medio"
"convincente","cogent","trust",0.53,-0.042,0.672,"medio"
"Convincente","convincing","trust",0.52,0.054,0.8,"medio"
"convulsión","upheaval","anger",-0.42,0.66,0.14,"alto"
"convulsión","upheaval","fear",-0.42,0.66,0.14,"alto"
"convulsión","upheaval","sadness",-0.42,0.66,0.14,"alto"
"cooperación","cooperation","trust",0.694,-0.054,0.372,"medio"
"cooperando","cooperating","trust",0.52,-0.22,0.386,"medio"
"cooperativa","coop","anger",0.224,-0.11,0.3,"medio"
"cooperativa","coop","disgust",0.224,-0.11,0.3,"medio"
"cooperativa","cooperative","trust",0.632,-0.078,0.34,"medio"
"coral","choral","joy",0.704,-0.42,-0.158,"bajo"
"cordero","lamb","joy",0.292,-0.432,-0.358,"bajo"
"cordero","lamb","trust",0.292,-0.432,-0.358,"bajo"
"cordón","lace","anger",0.25,-0.6,-0.414,"bajo"
"cordón","lace","fear",0.25,-0.6,-0.414,"bajo"
"cordón","lace","sadness",0.25,-0.6,-0.414,"bajo"
"cordón","lace","trust",0.25,-0.6,-0.414,"bajo"
"cornudo","cuckold","disgust",-0.58,0.146,-0.54,"medio"
"coro","choir","joy",0.408,-0.404,-0.054,"bajo"
"coro","choir","trust",0.408,-0.404,-0.054,"bajo"
"coronación","coronation","joy",0.584,0.184,0.672,"medio"
"coronación","coronation","trust",0.584,0.184,0.672,"medio"
"coronamiento","crowning","anticipation",0.546,0.188,0.662,"medio"
"coronamiento","crowning","joy",0.546,0.188,0.662,"medio"
"coronamiento","crowning","surprise",0.546,0.188,0.662,"medio"
"coronamiento","crowning","trust",0.546,0.188,0.662,"medio"
"coronel","colonel","trust",-0.082,0.184,0.78,"medio"
"corporación","corporation","trust",-0.142,-0.336,0.746,"bajo"
"correo","mail","anticipation",0.23,-0.538,0.096,"bajo"
"correspondencia","correspondence","anticipation",0.326,-0.154,-0.018,"medio"
"corroboración","corroboration","trust",0.25,-0.138,0.466,"medio"
"corroborar","corroborate","trust",0.342,-0.058,0.232,"medio"
"corrompiendo","corrupting","anger",-0.876,0.608,-0.24,"alto"
"corrompiendo","corrupting","disgust",-0.876,0.608,-0.24,"alto"
"corrompiendo","corrupting","fear",-0.876,0.608,-0.24,"alto"
"corrompiendo","corrupting","sadness",-0.876,0.608,-0.24,"alto"
"corrosivo","corrosive","fear",-0.72,0.236,0.14,"medio"
"corrupción","corruption","disgust",-0.896,0.66,0.098,"alto"
"corso","corse","sadness",-0.104,-0.098,-0.236,"medio"
"cortador","cutter","fear",-0.146,0.462,0.166,"alto"
"cortar","pare","anger",0,-0.288,-0.382,"medio"
"cortar","pare","anticipation",0,-0.288,-0.382,"medio"
"cortar","pare","fear",0,-0.288,-0.382,"medio"
"cortar","pare","sadness",0,-0.288,-0.382,"medio"
"corte","cutting","anger",-0.104,-0.25,0.072,"medio"
"corte","cutting","disgust",-0.104,-0.25,0.072,"medio"
"corte","cutting","fear",-0.104,-0.25,0.072,"medio"
"corte","cutting","sadness",-0.104,-0.25,0.072,"medio"
"cosecha","harvest","anticipation",0.562,-0.294,0.096,"medio"
"cosecha","harvest","joy",0.562,-0.294,0.096,"medio"
"cosmopolita","cosmopolitan","trust",0.646,0.02,0.52,"medio"
"cosquillas","tickle","anticipation",0.52,0.454,-0.316,"alto"
"cosquillas","tickle","joy",0.52,0.454,-0.316,"alto"
"cosquillas","tickle","surprise",0.52,0.454,-0.316,"alto"
"cosquillas","tickle","trust",0.52,0.454,-0.316,"alto"
"costado","broadside","anticipation",-0.082,-0.368,-0.076,"bajo"
"cotizar","quote","anticipation",0.36,0.1,-0.14,"medio"
"cotizar","quote","surprise",0.36,0.1,-0.14,"medio"
"coyote","coyote","fear",-0.082,-0.058,-0.226,"medio"
"crear","create","joy",0.572,0.176,0.578,"medio"
"crecer","grow","anticipation",0.828,0.23,0.51,"medio"
"crecer","grow","joy",0.828,0.23,0.51,"medio"
"crecer","grow","trust",0.828,0.23,0.51,"medio"
"creciente","rising","anticipation",0.5,0.204,0.392,"medio"
"creciente","rising","joy",0.5,0.204,0.392,"medio"
"credencial","credential","trust",0.47,-0.326,0.194,"medio"
"credibilidad","credibility","trust",0.854,-0.264,0.679,"medio"
"crédito","credence","trust",0.52,-0.08,0.474,"medio"
"crédito","credit","trust",0.346,0.098,0.296,"medio"
"crédulo","gullible","sadness",-0.12,-0.116,-0.364,"medio"
"crédulo","gullible","trust",-0.12,-0.116,-0.364,"medio"
"creía","believed","trust",0,0.124,0.094,"medio"
"creíble","credible","trust",0.834,-0.118,0.5,"medio"
"crema","cream","anticipation",0.376,-0.482,-0.56,"bajo"
"crema","cream","joy",0.376,-0.482,-0.56,"bajo"
"crema","cream","surprise",0.376,-0.482,-0.56,"bajo"
"cremación","cremation","sadness",-0.832,0.24,-0.16,"medio"
"crescendo","crescendo","anticipation",0.52,0.15,0.188,"medio"
"crescendo","crescendo","joy",0.52,0.15,0.188,"medio"
"crescendo","crescendo","surprise",0.52,0.15,0.188,"medio"
"crescendo","crescendo","trust",0.52,0.15,0.188,"medio"
"creyendo","believing","trust",0.74,-0.164,0.666,"medio"
"creyente","believer","trust",0.45,-0.11,0.128,"medio"
"criatura","creature","disgust",0.338,0.25,0.24,"medio"
"criatura","creature","fear",0.338,0.25,0.24,"medio"
"crimen","malfeasance","disgust",-0.876,0.49,-0.35,"alto"
"criminalidad","criminality","anger",-0.756,0.726,0.16,"alto"
"criminalidad","criminality","disgust",-0.756,0.726,0.16,"alto"
"criminalidad","criminality","fear",-0.756,0.726,0.16,"alto"
"cripta","crypt","fear",-0.544,-0.138,-0.228,"medio"
"cripta","crypt","sadness",-0.544,-0.138,-0.228,"medio"
